student_id,chapter_id,emotion,confidence
5d00d7c0-4c63-477e-94bd-0fc9eae9d4e7,daf5f868-5d44-4ecd-8764-a983b962ab7f,engaged,0.73
07159900-b533-4de3-ba23-8c75b0fa4e3b,4c8b0fc2-b09a-4ad2-899c-94a22afddfc0,frustrated,0.78
07159900-b533-4de3-ba23-8c75b0fa4e3b,4c8b0fc2-b09a-4ad2-899c-94a22afddfc0,drowsy,0.81
07159900-b533-4de3-ba23-8c75b0fa4e3b,4c8b0fc2-b09a-4ad2-899c-94a22afddfc0,drowsy,0.77
cbb54b39-6dec-43ae-928b-9f937f3ad2a3,d15e5d75-1455-4ae6-85cb-77c026aa7ee7,drowsy,0.79
cbb54b39-6dec-43ae-928b-9f937f3ad2a3,d15e5d75-1455-4ae6-85cb-77c026aa7ee7,frustrated,0.93
cbb54b39-6dec-43ae-928b-9f937f3ad2a3,d15e5d75-1455-4ae6-85cb-77c026aa7ee7,engaged,0.92
1a11bc41-131c-4997-952f-b3ffdac09818,81515dbd-3147-4920-a5b6-7ec45624c3ba,engaged,0.57
1a11bc41-131c-4997-952f-b3ffdac09818,81515dbd-3147-4920-a5b6-7ec45624c3ba,happy,0.78
1a11bc41-131c-4997-952f-b3ffdac09818,81515dbd-3147-4920-a5b6-7ec45624c3ba,happy,0.71
e807e78a-7834-49b5-b10d-46aff10d25d7,c964d248-a457-4f82-af61-6311bf8a5e12,engaged,0.64
e807e78a-7834-49b5-b10d-46aff10d25d7,c964d248-a457-4f82-af61-6311bf8a5e12,bored,0.8
e807e78a-7834-49b5-b10d-46aff10d25d7,c964d248-a457-4f82-af61-6311bf8a5e12,engaged,0.75
62cce201-39dd-440c-b8c3-c580b587a1a2,504f60ec-d1ff-4f98-9aec-49d697bb14be,bored,0.87
92945fb6-984f-4856-9bc7-d709b93803f3,37040e86-f442-4ba4-a04c-a5d15b7c83de,frustrated,0.54
92945fb6-984f-4856-9bc7-d709b93803f3,37040e86-f442-4ba4-a04c-a5d15b7c83de,frustrated,0.65
92945fb6-984f-4856-9bc7-d709b93803f3,37040e86-f442-4ba4-a04c-a5d15b7c83de,frustrated,0.51
92945fb6-984f-4856-9bc7-d709b93803f3,37040e86-f442-4ba4-a04c-a5d15b7c83de,bored,0.86
3f155382-a9e6-4917-838b-8e489de307b1,155f0282-1f95-41ab-816c-3cf05f57af5c,drowsy,0.94
3f155382-a9e6-4917-838b-8e489de307b1,155f0282-1f95-41ab-816c-3cf05f57af5c,drowsy,0.78
3f155382-a9e6-4917-838b-8e489de307b1,155f0282-1f95-41ab-816c-3cf05f57af5c,bored,0.8
3f155382-a9e6-4917-838b-8e489de307b1,155f0282-1f95-41ab-816c-3cf05f57af5c,engaged,0.52
de781a74-ab62-44f5-8207-ba6bde8d5ca7,b6145cf5-6f94-47e3-9956-c7e2638e48d0,happy,0.74
de781a74-ab62-44f5-8207-ba6bde8d5ca7,b6145cf5-6f94-47e3-9956-c7e2638e48d0,confused,0.75
de781a74-ab62-44f5-8207-ba6bde8d5ca7,b6145cf5-6f94-47e3-9956-c7e2638e48d0,engaged,0.52
de781a74-ab62-44f5-8207-ba6bde8d5ca7,b6145cf5-6f94-47e3-9956-c7e2638e48d0,happy,0.88
f17e6e86-34e4-4053-8f08-c700db7f1501,e0f26522-fe7a-4f6e-a56b-e6ca98ea9374,drowsy,0.63
f17e6e86-34e4-4053-8f08-c700db7f1501,e0f26522-fe7a-4f6e-a56b-e6ca98ea9374,bored,0.85
09763d3e-75c3-4162-b022-47062a2a7401,5b1383c4-f3b9-49da-a87a-45162fad7c1a,happy,0.69
09763d3e-75c3-4162-b022-47062a2a7401,5b1383c4-f3b9-49da-a87a-45162fad7c1a,drowsy,0.98
adef7d73-e4e9-42a1-a225-563a53699721,f99fdd8c-edd0-4948-98c7-5e392d9c0464,frustrated,0.6
adef7d73-e4e9-42a1-a225-563a53699721,f99fdd8c-edd0-4948-98c7-5e392d9c0464,confused,0.53
4c952b5c-32fb-47e7-a6f1-724a088fb234,67f97c04-2061-4cce-9fee-21e6d9359156,drowsy,0.97
4c952b5c-32fb-47e7-a6f1-724a088fb234,67f97c04-2061-4cce-9fee-21e6d9359156,engaged,0.62
4c952b5c-32fb-47e7-a6f1-724a088fb234,67f97c04-2061-4cce-9fee-21e6d9359156,bored,0.8
dfb23070-8af9-4154-8838-e18e1916f10c,cf584edd-a79c-4ff5-bef9-981538bad376,engaged,0.68
dfb23070-8af9-4154-8838-e18e1916f10c,cf584edd-a79c-4ff5-bef9-981538bad376,happy,0.81
dfb23070-8af9-4154-8838-e18e1916f10c,cf584edd-a79c-4ff5-bef9-981538bad376,engaged,0.79
dfb23070-8af9-4154-8838-e18e1916f10c,cf584edd-a79c-4ff5-bef9-981538bad376,engaged,0.84
1826224c-9c88-4486-b936-1d37f2cc8eea,ef191b5d-7c28-4758-be48-d6e35df07861,engaged,0.51
1826224c-9c88-4486-b936-1d37f2cc8eea,ef191b5d-7c28-4758-be48-d6e35df07861,confused,0.9
971dd2c6-7676-429a-a4e2-df8f4aa8bf0f,15e2d466-e762-4143-bc31-dec48913cb86,engaged,0.73
9c220410-ad28-4697-9520-a710aa9edf90,b393628d-fd15-4228-8623-69ab6692930c,drowsy,0.75
9c220410-ad28-4697-9520-a710aa9edf90,b393628d-fd15-4228-8623-69ab6692930c,confused,0.7
21b106b4-c58e-4779-8484-5478d092f82c,6a1527b7-274e-4025-8d62-7300aeef1254,drowsy,0.97
21b106b4-c58e-4779-8484-5478d092f82c,6a1527b7-274e-4025-8d62-7300aeef1254,engaged,0.88
20928875-7752-4e2e-8c4a-042b51fc79a6,6ddf6edd-0111-4d2f-870d-f65e58390b74,bored,0.65
37971885-6a0e-4a89-b2e1-1137fb2f1867,61c217be-f5d5-46bc-80dd-c4fcff0bda8c,engaged,0.88
37971885-6a0e-4a89-b2e1-1137fb2f1867,61c217be-f5d5-46bc-80dd-c4fcff0bda8c,engaged,0.71
37971885-6a0e-4a89-b2e1-1137fb2f1867,61c217be-f5d5-46bc-80dd-c4fcff0bda8c,engaged,0.92
671e6c95-d8a8-44a9-9263-de1f2539d1c4,ef314c2a-307f-483b-af4d-91cafdd781c3,confused,0.51
671e6c95-d8a8-44a9-9263-de1f2539d1c4,ef314c2a-307f-483b-af4d-91cafdd781c3,confused,0.67
