chapter_id,subject_id,subject_name,order_index,title,difficulty,tags
81515dbd-3147-4920-a5b6-7ec45624c3ba,132b832a-4b13-47b1-9953-da7022debe18,Mathematics,0,Number Systems,beginner,algebra|statistics|arithmetic
b393628d-fd15-4228-8623-69ab6692930c,132b832a-4b13-47b1-9953-da7022debe18,Mathematics,1,Algebra Basics,intermediate,algebra|arithmetic|calculus
68a91d13-8c54-4591-b7bc-c76250101a0e,132b832a-4b13-47b1-9953-da7022debe18,Mathematics,2,Linear Equations,beginner,statistics|arithmetic|geometry
37c32447-0279-46e8-837c-1054aa1ac8ff,132b832a-4b13-47b1-9953-da7022debe18,Mathematics,3,Quadratic Equations,advanced,algebra|calculus|arithmetic
1d5a8a86-b8ce-4ae8-a836-0130bf528dd9,132b832a-4b13-47b1-9953-da7022debe18,Mathematics,4,Geometry Fundamentals,beginner,algebra|calculus|statistics
1c41656f-3030-4e2e-8ea1-60d77eb87353,132b832a-4b13-47b1-9953-da7022debe18,Mathematics,5,Coordinate Geometry,advanced,statistics|algebra|arithmetic
c964d248-a457-4f82-af61-6311bf8a5e12,132b832a-4b13-47b1-9953-da7022debe18,Mathematics,6,Trigonometry,intermediate,statistics|arithmetic|algebra
61c217be-f5d5-46bc-80dd-c4fcff0bda8c,132b832a-4b13-47b1-9953-da7022debe18,Mathematics,7,Statistics & Probability,beginner,geometry|statistics|calculus
0fdab15a-81d0-4631-8cc4-7aa3cda3f46f,132b832a-4b13-47b1-9953-da7022debe18,Mathematics,8,Calculus Intro,intermediate,arithmetic|algebra|calculus
1f82ff6b-efc7-4308-b26b-2a11036058c2,132b832a-4b13-47b1-9953-da7022debe18,Mathematics,9,Matrices,intermediate,arithmetic|statistics|algebra
80a55392-6659-450e-9532-c82d1e23f13f,46fba44d-ccaf-4608-80ce-1c05de3ac970,Physics,0,Motion & Kinematics,advanced,waves|electricity|optics
b6145cf5-6f94-47e3-9956-c7e2638e48d0,46fba44d-ccaf-4608-80ce-1c05de3ac970,Physics,1,Newton's Laws,intermediate,thermodynamics|electricity|waves
49495563-f342-4742-abc9-60a11b89879f,46fba44d-ccaf-4608-80ce-1c05de3ac970,Physics,2,Work & Energy,advanced,waves|optics|thermodynamics
bd927693-8e63-4da4-b7c9-7ed9088c6f22,46fba44d-ccaf-4608-80ce-1c05de3ac970,Physics,3,Gravitation,intermediate,electricity|optics|waves
