interaction_id,student_id,chapter_id,subject_name,score,rating,completion_rate,time_spent_minutes,status,engagement_score
99ccf869-6c16-460a-9d2e-990e1d17ab2b,5d00d7c0-4c63-477e-94bd-0fc9eae9d4e7,daf5f868-5d44-4ecd-8764-a983b962ab7f,English,72,3.6,0.8,22,in_progress,0.66
1e737188-c750-4817-a078-31908d8ab611,07159900-b533-4de3-ba23-8c75b0fa4e3b,4c8b0fc2-b09a-4ad2-899c-94a22afddfc0,History,57,3.2,0.48,33,in_progress,0.49
e4c8a3a3-6f08-4539-a86e-3709f415e518,cbb54b39-6dec-43ae-928b-9f937f3ad2a3,d15e5d75-1455-4ae6-85cb-77c026aa7ee7,Geography,62,2.8,0.63,61,in_progress,0.3
fc95d2e8-fbc6-4834-9cf0-47d16e4e49ae,1a11bc41-131c-4997-952f-b3ffdac09818,81515dbd-3147-4920-a5b6-7ec45624c3ba,Mathematics,63,2.9,0.64,32,in_progress,0.72
e398411f-0b24-4e51-94b8-fd1a3ed07f16,e807e78a-7834-49b5-b10d-46aff10d25d7,c964d248-a457-4f82-af61-6311bf8a5e12,Mathematics,100,5.0,0.91,21,completed,0.68
81fcb05e-f9dc-47ac-bf1e-9b3acb7d4e50,62cce201-39dd-440c-b8c3-c580b587a1a2,504f60ec-d1ff-4f98-9aec-49d697bb14be,Biology,55,2.7,0.62,24,in_progress,0.57
b8042bb5-511b-4201-a4f7-6e0bddec2275,92945fb6-984f-4856-9bc7-d709b93803f3,37040e86-f442-4ba4-a04c-a5d15b7c83de,Hindi,56,2.8,0.69,61,in_progress,0.36
c2d7d4cc-ba23-441d-a958-31249fd4ffe2,3f155382-a9e6-4917-838b-8e489de307b1,155f0282-1f95-41ab-816c-3cf05f57af5c,Music,73,3.1,0.68,59,in_progress,0.63
1f4ce60b-0e03-4466-9f66-9c910cec25b1,de781a74-ab62-44f5-8207-ba6bde8d5ca7,b6145cf5-6f94-47e3-9956-c7e2638e48d0,Physics,75,3.7,0.72,35,in_progress,0.81
ef88d563-9dd8-40e0-b446-e58fbdfc4322,f17e6e86-34e4-4053-8f08-c700db7f1501,e0f26522-fe7a-4f6e-a56b-e6ca98ea9374,Political Science,63,2.6,0.73,31,in_progress,0.72
e99de602-50a7-4085-bd51-df341b2cd431,09763d3e-75c3-4162-b022-47062a2a7401,5b1383c4-f3b9-49da-a87a-45162fad7c1a,Hindi,80,4.3,0.89,40,in_progress,0.48
710de691-7714-43d4-a616-7ca8e81c60a5,adef7d73-e4e9-42a1-a225-563a53699721,f99fdd8c-edd0-4948-98c7-5e392d9c0464,Hindi,42,2.4,0.34,22,in_progress,0.36
d8140871-d9ff-4a4c-8784-ac0d70be7aad,4c952b5c-32fb-47e7-a6f1-724a088fb234,67f97c04-2061-4cce-9fee-21e6d9359156,Geography,94,5.0,0.96,52,completed,0.47
5bcbd54d-4250-4d35-9ace-ee156207d702,dfb23070-8af9-4154-8838-e18e1916f10c,cf584edd-a79c-4ff5-bef9-981538bad376,Physics,77,4.3,0.79,5,in_progress,0.76
74fe730f-44cf-41cb-b623-5155682de725,1826224c-9c88-4486-b936-1d37f2cc8eea,ef191b5d-7c28-4758-be48-d6e35df07861,Economics,70,3.4,0.83,34,in_progress,0.3
fe142faa-0eaa-4709-b4d1-c804223e724a,971dd2c6-7676-429a-a4e2-df8f4aa8bf0f,15e2d466-e762-4143-bc31-dec48913cb86,Economics,42,2.3,0.36,63,in_progress,0.67
fff6ca77-d610-4181-bb1d-90d2e0c9f5b7,9c220410-ad28-4697-9520-a710aa9edf90,b393628d-fd15-4228-8623-69ab6692930c,Mathematics,70,3.7,0.73,30,in_progress,0.53
3ad8c749-4347-4e77-95a1-06f7cf37a9e9,21b106b4-c58e-4779-8484-5478d092f82c,6a1527b7-274e-4025-8d62-7300aeef1254,Economics,50,2.1,0.62,45,in_progress,0.55
